catalog_event_id,event_date,magnitude,depth_km
462883,2014-10-06 04:01:47-07,3.14,12.25
201410082062,2014-10-08 12:44:12-07,3.3,5.22
201410122057,2014-10-12 09:03:25-07,3.2,7.62
201410132059,2014-10-13 10:11:02-07,3,4.24
463730,2014-10-12 20:27:17-07,3.25,13.52
201410132008,2014-10-12 18:44:30-07,3.2,7.71
201410132029,2014-10-13 01:58:19-07,3.1,5
201410132040,2014-10-13 05:24:54-07,3.2,5
201410142052,2014-10-14 11:32:48-07,3.1,101.2
201410142050,2014-10-14 11:28:32-07,3.1,4.53
201410172012,2014-10-16 21:48:51-07,3.3,81.8
201410162005,2014-10-15 18:14:15-07,3.1,0
201410172027,2014-10-17 01:49:37-07,3.1,7.75
201410202046,2014-10-20 08:35:29-07,3,3.76
201410202063,2014-10-20 13:34:16-07,3.5,4.83
201410222076,2014-10-22 16:48:07-07,3.3,5.9
201410222052,2014-10-22 08:58:22-07,3.5,6.91
201410252036,2014-10-25 05:36:15-07,3.1,5
201410252047,2014-10-25 10:10:54-07,3.2,6.82
201410252055,2014-10-25 13:21:10-07,3.1,5
201410262050,2014-10-26 11:23:10-07,3.4,5
201410292002,2014-10-28 17:29:08-07,3.1,2.99
201410302018,2014-10-30 08:16:33-07,3.9,0
201410292036,2014-10-29 09:53:31-07,3.2,5.95
201411012012,2014-10-31 23:03:16-07,3,5
201411022011,2014-11-01 20:22:23-07,3.5,60.5
201411022005,2014-11-01 17:58:36-07,3.1,3.65
201411022064,2014-11-02 09:39:27-08,3.1,16.1
201411022043,2014-11-02 03:58:21-08,3,1.01
201411032068,2014-11-03 08:43:57-08,3.4,3.9
201411032024,2014-11-02 21:58:29-08,3,5.94
201411032088,2014-11-03 14:16:50-08,3,4.91
201411052013,2014-11-04 20:45:30-08,3.5,0.57
201411052019,2014-11-04 23:14:46-08,3,2.26
201411052068,2014-11-05 07:18:26-08,3.9,3.6
201411052046,2014-11-05 02:07:27-08,3.2,8.09
201411062008,2014-11-05 17:35:02-08,3.2,10.67
201411042071,2014-11-04 15:13:50-08,3.2,6.26
